a_id,title,date_of_creation,founder_name,dimensions,location,country,continent
1,Eiffel Tower,1889,Stephen Sauvestre,300 m (984 ft),Paris,France,Europe
2,Palace of Versailles,1634,King Louis XIV,"1,070 hectares",Versailles,France,Europe
3,Colosseum,70-80 AD,Emperors of the Flavian Dynasty,189 meters x 156 meters,Rome,Italy,Europe
4,Leaning Tower of Pisa,1372,Bonanno Pisano,55.86 metres (183.3 ft),Pisa,Italy,Europe
5,Yu Garden,1559,Pan Yunduan, 2 hectares ,Shanghai,China,Asia
6,The Bird's Nest ,2007,Herzog & de Meuron Architekten,330m x 220m 69.2m ,Beijing,China ,Asia
7,Fushimi Inari Taisha,1499,Hata Family, 4km x 233m (LxH),Kyoto,Japan,Asia
8,The Kaiyukan Aquarium,1990,Peter Chermayeff,"26,570 sq m",Osaka,Japan,Asia
9,The Bahia Palace,1912,Si Moussa Ba Ahmed,340 meters,Marrakesh,Morocco,Africa
10,Taroudant University,2010,"Saad El Kabbaj, Driss Kettani, Mohamed Amine Siana",20511.0 mÂ²,Taroudant,Morocco,Africa
11,Old Fort of Zanzibar,1699,Omani Arabs,96 hectares,Zanzibar,Tanzania,Africa
12,Great Mosque of Kilwa,11th or 12th Century,Sultan al-Hasan ibn Sulaiman,7.8 m x 12 m,Kilwa Kisiwani,Tanzania,Africa
13,Statue of Liberty National Monument,1886,Édouard René de Laboulaye,93 m,New York,USA,America
14,Disney World ,1971,Walt & Roy Disney,"25,000 acres",Florida,USA,America
15,CN Tower,1976,WZMH Architects,553.3 m ,Toronto,Canada,America
16,Casa Loma,1914,E. J. Lennox,"343,253 sqft",Toronto,Canada,America
17,Sydney Opera House,1973,JÃ¸rn Utzon,183 m (600 ft) x 120 m (394 ft) x  4.4 acres,Sydney,Australia,Oceania
18,Fremantle Prison,1855,Edmund Henderson,15 acres,Fremantle,Australia,Oceania
19,Larnach Castle,1874,R. A. Lawson,300 acres ,Dunedin,New Zealand,Oceania
20,Cardboard Cathedral,2013,Shigeru Ban,21 metres (69 ft),Christchurch,New Zealand,Oceania
